Clean Development Mechanism::SYN::CDM,F 895         
interlinkages between biodiversity and climate,F 1           
interlinkages with existing instruments,F 1           
interlinking carbon markets,F 1           
intermediate review of progress,F 1           
internal audit report,F 1           
internationally imposed criteria,F 1           
internationally legally-binding agreement,F 1           
interpretation of COP guidance::SYN::interpretation of Conference of Parties guidance,F 1           
interpreters of party positions,F 1           
intersessional and presessional activities,F 1           
intersessional consultations with parties,F 1           
intervention of President Pronk,F 1           
interventions on specific points,F 1           
introduced prepared based,F 1           
inventories and national communications,F 1           
inventory and assessment of technologies,F 1           
inventory and reporting options,F 1           
inventory of emissions and sinks,F 1           
inventory of existing technologies,F 1           
inventory of internal emissions,F 1           
investing in clean development,F 1           
investment for clean development,F 1           
investment in developing countries,F 1           
investment in public spaces,F 1           
invitation to various bodies,F 1           
inviting IMO and ICAO::SYN::inviting International Maritime Organization and International Civil Aviation Organization,F 1           
inviting submissions on issues,F 1           
inviting voluntary contributions,F 1           
invoking dark memories,F 1           
involvement of major economies,F 1           
involving other stakeholders,F 1           
issuance and cancellation of RMUs,F 1           
issuance of assigned amounts,F 1           
issue Friday evening,F 1           
issue after informal consultations,F 1           
issue and possible steps,F 1           
issue and proposed reflecting,F 1           
issue and requests submissions,F 1           
issue at future meetings,F 1           
issue at subsequent sessions,F 1           
issue for COP-6 in light,F 1           
issue in informal discussions,F 1           
issue in long-term cycles,F 1           
issue many fear,F 1           
issue of Croatia appeal,F 1           
issue of Protocol Articles,F 1           
issue of biodiversity and climate,F 1           
issue of bunker fuels,F 1           
issue of demonstrable progress,F 1           
issue of environmental integrity,F 1           
issue of financial resources,F 1           
issue of frequency of submissions,F 1           
issue of future commitments,F 1           
issue of including sinks,F 1           
issue of loss of mechanisms,F 1           
issue of non-CO2 emissions,F 1           
issue of non-renewable biomass,F 1           
issue of nuclear energy,F 1           
issue of public technologies,F 1           
issue of scale in Article,F 1           
issue of support to IPCC,F 1           
issue of thresholds for non-compliance,F 1           
issue of unilateral projects,F 1           
issue of unmet need,F 1           
issue of voluntary commitments,F 1           
issue on Friday afternoon,F 1           
issue to SB-16 and COP-8,F 1           
issue under discussion among delegates,F 1           
issues and information gathering,F 1           
issues as capacity building,F 1           
issues as requiring consideration,F 1           
issues by discussing items,F 1           
issues for consideration by COP::SYN::issues for consideration by Conference of Parties,F 1           
issues into multiple bodies,F 1           
issues not addressed,F 1           
issues of AAU surplus,F 1           
issues of importance to Parties,F 1           
issues of local importance,F 1           
issues regarding sinks,F 1           
issues steady progress,F 1           
issues under negotiation since COP-8,F 1           
issues where agreement,F 2           
item and Protocol Article,F 1           
item on methodological issues,F 1           
item on modalities and arrangements,F 1           
item the developing countries,F 1           
items where consensus,F 1           
joint CBD-UNFCCC programme,F 1           
joint Subsidiary Bodies,F 1           
joint UNDP-UNEP initiative,F 1           
joint consultations with SBSTA,F 1           
joint draft SBI,F 1           
joint fulfillment of commitments,F 1           
joint implementation and annexes,F 1           
joint implementation pilot,F 2           
joint plenary and contact,F 1           
joint plenary session,F 1           
joint proposal from Canada,F 1           
joint research projects,F 2           
joint session that contact,F 1           
joint submission on REDD,F 1           
joint work programmes,F 1           
judgment to policy makers,F 1           
juridical personality in Germany,F 1           
just and comprehensive agreement,F 1           
just capacity building,F 1           
just completed deliberations,F 1           
just marking time,F 1           
justification for political action,F 1           
keeping saved AAUs::SYN::keeping saved Assigned Amount Units,F 1           
key area of controversy,F 1           
key conference goals,F 1           
key developed countries,F 1           
key element for success,F 1           
key first step,F 1           
key goal for Warsaw,F 1           
key issue for ratification,F 1           
key issues for adaptation,F 1           
key messages under workstream,F 1           
key option for mitigation,F 1           
key options as Cancun,F 1           
key polarizing questions,F 1           
key political decisions,F 1           
key sticking points,F 1           
key to success at COP-6,F 1           
key unresolved issues,F 1           
knotty issues for resolution,F 1           
knowledge and expertise of partners,F 1           
knowledge and networking capacity,F 1           
land use sinks,F 1           
lands being discussed,F 1           
language on fast-start finance,F 1           
language on international centers,F 1           
language requesting SBSTA-16,F 1           
large developed country,F 1           
large emissions reductions,F 1           
large groups of people,F 1           
large mainland States,F 1           
large majority of ministers,F 1           
large number of delegates,F 1           
large number of participants,F 1           
large number of projects,F 1           
large-scale CDM projects::SYN::large-scale Clean Development Mechanism projects,F 1           
largely private sector,F 1           
larger group setting,F 1           
largest funder of adaptation,F 1           
last COP before Copenhagen::SYN::last Conference of Parties before Copenhagen,F 1           
last bullet on page,F 1           
last crucial days,F 1           
last few years,F 1           
last outstanding detail,F 1           
last outstanding issues,F 1           
last week in Frankfurt,F 1           
last week text,F 1           
late Monday night,F 1           
late afternoon session,F 1           
late evening contact,F 1           
late morning session,F 1           
late night Plenary,F 1           
late night session,F 2           
late nights of negotiations,F 1           
late submission of Annex,F 1           
later SBSTA session,F 1           
later stage on activities,F 1           
later withdrawn at DENMARK,F 1           
latest developments in science,F 1           
latest input from parties,F 1           
latest national communications,F 1           
latest status of contributions,F 1           
latest technologies and renewables,F 1           
launch of formal negotiations,F 1           
launch of negotiations in Bali,F 1           
lead and developing countries,F 1           
lead in mitigating climate,F 1           
lead in mitigating emissions,F 1           
lead in setting targets,F 1           
leader in environmental protection,F 1           
leadership from developed countries,F 2           
leadership in other processes,F 1           
leading industrial economies,F 1           
leaked texts of Copenhagen,F 1           
least cost evaluations,F 1           
least economic resilience,F 1           
least half of funds,F 1           
least initiate negotiations,F 1           
least-cost mitigation approaches,F 1           
least-cost win-win solution,F 1           
legal agreement on compliance,F 1           
legal and administrative restrictions,F 1           
legal and oceans-related matters,F 1           
legal and operational continuity,F 1           
legal and political issues,F 1           
legal and practical difficulties,F 1           
legal and regulatory issues,F 1           
legal and technical points,F 1           
legal form at COP::SYN::legal form at Conference of Parties,F 1           
legal options negotiations,F 1           
legally binding nature,F 1           
legally binding reduction,F 1           
legally binding rules,F 1           
legally-binding agreement in accordance,F 1           
legally-binding climate deal,F 1           
legally-binding instrument at COP 17::SYN::legally-binding instrument at Conference of Parties 17,F 1           
legally-binding instrument in Durban,F 1           
legally-binding instrument on track,F 1           
legally-binding outcome and others,F 1           
legally-binding outcome at COP 17::SYN::legally-binding outcome at Conference of Parties 17,F 1           
legally-binding outcome in Copenhagen,F 1           
legislation and ratification processes,F 1           
legislative entities and parliaments,F 1           
legitimate US interests,F 1           
length of Tuesday night,F 1           
length of commitments for Annex,F 1           
length of crediting periods,F 1           
length two options for text,F 1           
lengthy discussions on issues,F 1           
lengthy informal consultations,F 1           
lengthy informal negotiations,F 1           
lengthy negotiations on India,F 1           
less ambitious goal,F 1           
less diversified economies,F 1           
less frenzied atmosphere,F 1           
less impressive pace,F 1           
less mature elements,F 1           
less progress on adaptation,F 1           
levels through awareness raising,F 1           
levy on airline tickets,F 1           
liability under emissions trading,F 1           
lifestyles and consumption patterns,F 1           
lifting of brackets around Article,F 1           
light of early dawn,F 1           
like-minded States meeting,F 1           
likely allocation of themes,F 1           
limit in temperature increase,F 1           
limitations of economic modeling,F 1           
limited and meetings in conjunction,F 1           
limited financial resources,F 1           
limited geographical application,F 1           
limited mandate and opportunities,F 1           
limited number of activities,F 1           
limited number of meetings,F 1           
limited number of options,F 1           
limited number of parties,F 1           
limited pot of funding,F 1           
limited resources and capacity,F 1           
limited sink activities,F 1           
limited substantive debate,F 1           
limiting reference to Article,F 1           
limiting temperature rise,F 1           
limits and levels of reduction,F 1           
limits on emissions trading,F 1           
line with COP-1 estimates,F 1           
link between mitigation and adaptation,F 1           
link between safeguards and co-benefits,F 1           
link to mechanisms eligibility,F 1           
link to poverty alleviation,F 1           
linkage between poverty and environment,F 1           
linkage to non-compliance by Annex,F 1           
linkages across Convention institutions,F 1           
linkages between combating desertification,F 1           
linkages between loss and damage,F 1           
linkages to issues under consideration,F 1           
linkages to other contact,F 1           
linkages with other institutions,F 1           
linkages with water issues,F 1           
linked and fundamental issues,F 1           
linking financial penalties,F 1           
linking several parts,F 1           
linking technology development,F 1           
links between desertification and climate,F 1           
links between development and climate,F 1           
links to market mechanisms,F 1           
listing IGOs and NGOs::SYN::listing IGOs and non-governmental organizations,F 1           
little concrete progress,F 1           
little prospect of convergence,F 1           
live meetings schedule,F 1           
livelihoods of rural populations,F 1           
lobbying other governments,F 1           
local and regional initiatives,F 1           
local and regional knowledge-gaps,F 1           
local and regional levels,F 1           
local climate impacts,F 1           
local coping strategies,F 2           
local ecological context,F 1           
local environment benefits,F 1           
local environmental policies,F 1           
local environmental problems,F 1           
local level action,F 1           
local socioeconomic conditions,F 1           
local stakeholders in decision-making,F 1           
local topographic characteristics,F 1           
local-level capacity building,F 1           
locally appropriate approaches,F 1           
location of sub paragraph,F 1           
locked and many delegates,F 1           
long and sleepless night,F 1           
long days of talks,F 2           
long working days,F 1           
long-standing track record,F 1           
long-term GHG regime,F 1           
long-term aspirational goal,F 1           
long-term carbon storage,F 1           
long-term cooperation on mitigation,F 1           
long-term economic prospects,F 1           
long-term finance and establishment,F 1           
long-term finance from Doha,F 1           
long-term global climate,F 2           
long-term global target,F 1           
long-term impacts of climate,F 1           
long-term legal framework,F 1           
long-term planning once details,F 1           
long-term return on investment,F 1           
long-term strategic vision,F 1           
long-term work of SBSTA,F 1           
longer commitment periods,F 1           
longer evening session,F 1           
longer term guidelines,F 1           
longer-term work programme,F 1           
loophole permitting Parties,F 1           
loss and damage solutions,F 1           
loss of forest cover,F 1           
losses in developing countries,F 1           
low adaptive capacity,F 2           
low carbon strategies,F 1           
low carbon-emitting future,F 1           
low key atmosphere,F 1           
low risk of non-additionality,F 1           
low transaction costs,F 2           
low-carbon economy and development,F 1           
low-carbon energy sources,F 1           
low-carbon growth model,F 1           
low-cost and win-win actions,F 1           
lower carbon budget,F 1           
lower carbon pathway,F 1           
lower demand for CERs::SYN::lower demand for Certified Emission Reductions,F 1           
lower share of proceeds,F 1           
made available Thursday,F 1           
made available starting,F 1           
made considerable progress,F 1           
made major concessions,F 1           
magnitude of future corrections,F 1           
mainstreaming adaptation activities,F 1           
mainstreaming capacity building,F 1           
maintaining economic growth,F 1           
maintaining momentum in talks,F 1           
major emitters and sectors,F 1           
major point of contention,F 1           
major political changes,F 1           
major source categories,F 1           
major source of funding,F 1           
major stumbling block,F 1           
make or break opportunity,F 1           
making big issues,F 1           
making decisions on modalities,F 1           
making good progress,F 1           
making serious efforts,F 1           
making textual proposals,F 1           
managed and unmanaged lands,F 1           
managed sinks in QELROs,F 1           
management and CDM procedures::SYN::management and Clean Development Mechanism procedures,F 1           
management plan and financing,F 1           
mandate of such centers,F 1           
mandatory approach while others,F 1           
mandatory language in decisions,F 1           
mandatory reporting requirements,F 1           
marathon session on Tuesday,F 1           
marginal abatement costs,F 2           
maritime and air transport,F 1           
maritime and aviation emissions,F 2           
market approaches and finance,F 1           
market based transfer,F 1           
market driven alternatives,F 1           
market for sustainable energy,F 1           
market-based mechanism in Durban,F 1           
markets in innovative ways,F 1           
markets or other assistance,F 1           
massive quantities of water,F 1           
matching NAMAs with support::SYN::matching nationally appropriate mitigation actions with support,F 1           
matching function or registry,F 1           
matter and forward text,F 1           
matter of justice and spirituality,F 1           
matter of life and death,F 1           
matter to informal consultations,F 1           
matters until negotiations on QELROs,F 1           
mature stage for implementation,F 1           
maximum amount of Mt,F 1           
maximum national flexibility,F 1           
meaning of demonstrable progress,F 1           
meaningful Kyoto Protocol,F 1           
meaningful draft agreement,F 1           
meaningful outcome at COP::SYN::meaningful outcome at Conference of Parties,F 1           
meaningful progress on adaptation,F 1           
means for avoiding commitments,F 1           
means for limiting GHGs,F 1           
means for meeting commitments,F 1           
means of reaching consensus,F 1           
measures for GHG emission,F 2           
measures in developing countries,F 2           
mechanism allowing countries,F 1           
mechanism for technology innovation,F 1           
mechanisms and technology transfer,F 2           
mechanisms for AWG KP,F 1           
mechanisms for clustering issues,F 1           
mechanisms for consultations with NGOs::SYN::mechanisms for consultations with non-governmental organizations,F 1           
mechanisms for perfecting implementation,F 1           
mechanisms including incentives,F 1           
mechanisms requiring resolution,F 1           
medium or large scale,F 1           
meeting Connie Hedegaard,F 1           
meeting QELROs commitments,F 1           
meeting Thursday morning,F 1           
meeting asking parties,F 1           
meeting fast approaching,F 1           
meeting for informal consultations,F 1           
meeting in earnest on Friday,F 1           
meeting into Saturday evening,F 1           
meeting of Major Economies,F 1           
meeting of blind men,F 1           
meeting of capacity-building practitioners,F 1           
meeting of environment ministers,F 1           
meeting of world leaders,F 1           
meeting on implementation of Article,F 1           
meeting on technology adaptation,F 1           
meeting preceding COP-8,F 1           
meetings on Tuesday morning,F 2           
member states leaders,F 1           
members and alternate members,F 2           
mention of LDCs and NAPAs::SYN::mention of least developed countries and NAPAs,F 1           
mere Protocol extension,F 1           
mere provision of information,F 1           
merging AWG-LCA and SBSTA,F 1           
merits of information exchange,F 1           
met Monday evening,F 1           
met Monday morning,F 1           
met present commitments,F 1           
meteorological and hydrological data,F 1           
methane recovery and utilization,F 2           
methodological and institutional issues,F 1           
methodological work and sinks,F 1           
methodologies and accounting procedures,F 1           
methodologies for energy efficiency,F 2           
methodologies for estimating emissions,F 2           
mid and long-term commitments,F 1           
mid-course evaluation at SBSTA,F 1           
mid-term mitigation targets,F 2           
midnight Friday night,F 1           
midnight following concerns,F 1           
million metric tonnes of carbon,F 1           
millions of new jobs,F 1           
mind historical responsibility,F 1           
mind the real reason,F 1           
minimalist outcome in Doha,F 1           
minister s statement,F 1           
ministerial bilateral meetings,F 1           
ministerial group meeting,F 1           
ministerial roundtable speech,F 1           
ministers and deputy ministers,F 1           
ministers and other-high-level representatives,F 1           
ministers from different sectors,F 1           
ministers or lobbyists with clients,F 1           
ministers with clear options,F 1           
minor drafting amendments,F 1           
minor oral amendment,F 1           
minor technical issues,F 1           
minor textual amendment,F 1           
minor textual revisions,F 1           
misguided mitigation efforts,F 1           
mismatch between impact research,F 1           
missing link under finance,F 1           
mission Friday afternoon,F 1           
mitigation actions or commitments,F 1           
mitigation and adaptation aspects,F 1           
mitigation and adaption measures,F 1           
mitigation and market agreement,F 1           
mitigation and methodological issues,F 1           
mitigation and support for adaptation,F 1           
mitigation and technology transfer,F 1           
mitigation commitments and actions,F 1           
mitigation commitments or actions,F 2           
mitigation efforts by AOSIS::SYN::mitigation efforts by Alliance of Small Island States,F 1           
mitigation for developed countries,F 1           
mitigation into development planning,F 1           
mitigation policies and measures,F 1           
mitigation technology and activity,F 1           
mix of jubilation and exhaustion,F 1           
mix of polices and incentives,F 1           
mobilized and scaled-up finance,F 1           
mobilizing existing technology,F 1           
mobilizing private finance,F 1           
mobilizing support from millions,F 1           
modalities for institutional linkages,F 1           
modeling and economic diversification,F 1           
modest but encouraging start,F 1           
monitoring NAPA implementation,F 1           
monitoring and comparability system,F 1           
monitoring and evaluation modalities,F 1           
monitoring and reporting mechanisms,F 1           
monitoring financial flows,F 1           
monitoring methodologies and procedures,F 1           
monitoring methodologies and ways,F 1           
monitoring reporting and verification,F 1           
monitors for further information,F 1           
mood by many negotiators,F 1           
morning Bureau meeting,F 1           
morning and early evening,F 1           
morning inaugural session,F 1           
morning on guidelines on NAPAs,F 1           
motion the entity or entities,F 1           
moved big distances,F 1           
movement on Protocol commitments,F 1           
movement on financial issues,F 1           
much common ground,F 1           
much larger sums,F 1           
much-anticipated first draft,F 1           
multilateral and bilateral agencies,F 2           
multilateral and bilateral discussions,F 1           
multilateral and bilateral mechanisms,F 1           
multilateral and international activities,F 1           
multilateral climate regime,F 1           
multilateral financial institutions,F 2           
multiple benefits and results,F 1           
multiple values of forests,F 1           
multiple versus single-year objectives,F 1           
multitude of Southern NGOs::SYN::multitude of Southern non-governmental organizations,F 1           
multitude of bilateral meetings,F 1           
muted response in others,F 1           
mutual reassurances that divides,F 1           
mutually supportive nature,F 1           
naming specific Parties,F 1           
narrow band of differentiation,F 1           
narrowed options on issues,F 1           
national MRV systems,F 1           
national adaptation strategies,F 1           
national and international fuel,F 1           
national and sub-national levels,F 1           
national circumstances and stakeholders,F 1           
national circumstances to re,F 1           
national climate programme,F 1           
national communications and activities,F 1           
national communications for non-Annex,F 1           
national communications process,F 1           
national communications to date,F 1           
national communications today,F 1           
national economic circumstances,F 1           
national efforts for transition,F 1           
national emissions targets,F 1           
national inventories in time,F 2           
national mitigation potential,F 1           
national parliaments and legislators,F 1           
national reduction target,F 1           
national strategy for CDM::SYN::national strategy for Clean Development Mechanism,F 1           
national technological capacities,F 1           
natural forest regeneration,F 1           
natural uptake of carbon,F 1           
nature of such penalties,F 1           
nearly universal recognition,F 1           
necessary analysis and definitions,F 1           
necessary and feasible target,F 1           
necessary economic changes,F 1           
necessary emission reductions,F 1           
necessary financial support,F 1           
necessary long-term perspective,F 1           
necessary national strategies,F 1           
necessary policy issues,F 1           
necessary political decisions,F 1           
necessary political momentum,F 1           
necessary privileges and immunities,F 1           
necessary request the COP::SYN::necessary request the Conference of Parties,F 1           
necessary sense of urgency,F 1           
need and specific mandate,F 1           
need for CDM methodologies::SYN::need for Clean Development Mechanism methodologies,F 1           
need for COP guidance::SYN::need for Conference of Parties guidance,F 1           
need for JI projects::SYN::need for joint implementation projects,F 1           
need for active participation,F 1           
need for adaptation funding,F 1           
need for additional commitments,F 1           
need for additional contributions,F 1           
need for additional funds,F 1           
need for additional incentives,F 1           
need for adequate financing,F 1           
need for adequate funding,F 2           
need for analytical outputs,F 1           
need for appropriate technologies,F 1           
need for better measurement,F 1           
need for binding outcomes,F 1           
need for building capacity,F 1           
need for clear indications,F 1           
need for clear strategies,F 1           
need for closer linkages,F 1           
need for collective action,F 1           
need for common verification,F 1           
need for concerted efforts,F 1           
need for consistency and symmetry,F 1           
need for consistency with Decision,F 1           
need for consultations on finance,F 1           
need for continuity and simplicity,F 1           
need for continuous cooperation,F 1           
need for convergence on issues,F 1           
need for coordinated action,F 1           
need for demand-driven financing,F 1           
need for demonstration projects,F 1           
need for developed countries,F 1           
need for development projects,F 1           
need for domestic action,F 1           
need for early ratification,F 1           
need for economic growth,F 1           
need for entry into force,F 1           
need for expedited access,F 1           
need for fairness and transparency,F 1           
need for fast-start financing,F 1           
need for financial support,F 1           
need for fundamental revisions,F 1           
need for further action,F 1           
need for further consideration,F 1           
need for further consultations,F 1           
need for further explanations,F 1           
need for further participation,F 1           
need for further research,F 1           
need for further sessions,F 1           
need for further steps,F 1           
need for further studies,F 1           
need for further submissions,F 1           
need for global emissions,F 1           
need for global solidarity,F 1           
need for greater capacity,F 1           
need for greater efforts,F 2           
need for greenhouse gas,F 1           
need for having text,F 1           
need for implementation actions,F 1           
need for international action,F 1           
need for legally-binding consequences,F 1           
need for longer commitments,F 1           
need for longer-term certainty,F 1           
need for longer-term support,F 1           
need for mandatory requirements,F 1           
need for more information,F 1           
need for more progress,F 1           
need for new aims,F 1           
need for new text,F 1           
need for political will,F 1           
need for practical experience,F 1           
need for regional balance,F 1           
need for speedy implementation,F 1           
need for strong action,F 1           
need for strong linkages,F 1           
need for stronger wording,F 1           
need for subsequent inventory,F 1           
need for such consultations,F 1           
need for such countries,F 1           
need for sufficient progress,F 1           
need for sustainable development,F 1           
need for technical support,F 1           
need for terms of reference,F 1           
need for text on adaptation,F 1           
need for timely pledges,F 1           
need for transparent information,F 1           
need for verifiability and additionality,F 1           
need for voluntary contributions,F 1           
need of financial aid,F 1           
need to lower emissions,F 1           
need to separate funds,F 1           
need to share information,F 1           
needed emission reductions,F 1           
needs of African countries,F 1           
needs of FCCC Parties,F 1           
needs of Parties and stakeholders,F 1           
needs of SIDS and LDCs::SYN::needs of small ISLANDS developing States and least developed countries,F 1           
needs of communities and ecosystems,F 1           
needs of vulnerable countries,F 2           
negative and positive effects,F 1           
negative and positive implications,F 1           
negative consensus rule,F 1           
negotiated relative limit,F 1           
negotiating group Chairs,F 1           
negotiating group for Ministers,F 1           
negotiating group meeting,F 1           
negotiating group on sinks,F 1           
negotiating group tomorrow,F 1           
negotiating groupings or alliances,F 1           
negotiating groups Tuesday,F 1           
negotiating new protocols,F 1           
negotiation of new aims,F 1           
negotiation of new commitments,F 1           
negotiations Tuesday night,F 1           
negotiations and help Parties,F 1           
negotiations and outcomes in Durban,F 1           
negotiations and side events,F 1           
negotiations in other areas,F 1           
negotiations last week,F 1           
negotiations on allowable credits,F 1           
negotiations on enhanced mitigation,F 1           
negotiations on further measures,F 1           
negotiations on other points,F 1           
negotiations on outstanding questions,F 1           
negotiations on technical issues,F 1           
negotiators being asked,F 1           
net aggregate emissions,F 1           
net and gross emissions,F 1           
net approach and removal,F 1           
net deforestation rates,F 1           
network of NWP supporters::SYN::network of Nairobi Work Programme supporters,F 1           
networks in developing countries,F 1           
neutral forum for parties,F 1           
newly elected Chair,F 1           
newly-adopted political decision,F 1           
newly-elaborated draft annex,F 1           
news of deaths and destruction,F 1           
next AWG sessions,F 1           
next Council meeting,F 1           
next GEF replenishment::SYN::next Global Environment Facility replenishment,F 1           
next Plenary meeting,F 1           
next Presidential election,F 1           
next SBI meeting,F 1           
next few months,F 1           
next few years,F 1           
next meeting on Friday,F 1           
next phase of negotiations,F 1           
next stage of action,F 1           
next stocktaking plenary,F 1           
night in informal consultations,F 1           
night on capacity building,F 1           
night on draft texts,F 1           
night until Tuesday morning,F 1           
nine policy-relevant questions and responses,F 1           
nitrous oxide emissions,F 2           
nitty gritty stage,F 1           
nominations and Board composition,F 1           
nominations of Alexander Bedritsky,F 1           
non political manner,F 1           
non-Annex I emissions,F 1           
non-Annex I negotiators,F 1           
non-Annex I objectives,F 1           
non-CO2 emissions reductions,F 1           
non-binding pledge-and-review regime,F 1           
non-compliance with several provisions,F 1           
non-dangerous emissions concentrations,F 1           
non-discriminatory rules on sinks,F 1           
non-market approaches and NMM::SYN::non-market approaches and new market mechanisms,F 1           
non-market approaches to cost-effectiveness,F 1           
non-market-based approaches and NMM::SYN::non-market-based approaches and new market mechanisms,F 1           
non-paper on biennial reports,F 1           
non-paper on outstanding issues,F 1           
non-paper on work in progress,F 1           
non-paper text from Panama,F 1           
non-ratifying developed countries,F 1           
normal UN procedures,F 1           
north-south and south-south partnerships,F 1           
not Wednesday night,F 1           
not administrative costs,F 1           
not adopted commitments,F 1           
not allowed access,F 1           
not allowing carryover,F 1           
not appropriate forum,F 1           
not been in evidence,F 1           
not blocking progress,F 1           
not bunker fuels,F 1           
not coming to Copenhagen,F 1           
not considered at SBSTA,F 1           
not convinced that solutions,F 1           
not covered by insurance,F 1           
not determined by science,F 1           
not end-of-pipe solutions,F 1           
not engaging in micro-management,F 1           
not expected in Durban,F 1           
not finance or prestige,F 1           
not found agreement,F 1           
not grounds for inaction,F 1           
not guaranteed and measures,F 1           
not had time,F 1           
not having guidance,F 1           
not incorporated elements,F 1           
not just donors,F 1           
not just procedure,F 1           
not much progress,F 1           
not necessarily unanimity,F 1           
not only mitigation,F 1           
not only rules,F 1           
not paying attention,F 1           
not reached at INC-11,F 1           
not related to adequacy,F 1           
not reporting problems,F 1           
not shown leadership,F 1           
not sought entry,F 1           
not sound policy,F 1           
not submitted communications,F 1           
not taken commitments,F 1           
not technological issues,F 1           
not yielded results,F 1           
noting broad support,F 1           
noting concerns about issues,F 1           
noting fundamental differences,F 1           
noting insufficient time,F 1           
noting limitation of credits,F 1           
noting minor concerns,F 1           
noting possible options,F 1           
noting slow progress,F 1           
noting substantive conclusions,F 1           
now GEF participants::SYN::now Global Environment Facility participants,F 1           
nuclear energy projects,F 1           
nuclear power activities,F 1           
nuclear power projects,F 1           
numerous alternative texts,F 1           
numerous consultations the issue,F 1           
numerous member countries,F 1           
numerous negotiations and consultations,F 1           
numerous outstanding issues,F 1           
numerous sources of funding,F 1           
objection by SAUDI ARABIA,F 1           
objection to procedural steps,F 1           
objective for INC-11 and COP-1,F 1           
objective of achieving consensus,F 1           
objective of reducing differences,F 1           
obligations as developed countries,F 1           
obligations of developing countries,F 1           
obligations on technology transfer,F 1           
observational capacity over oceans,F 1           
observed changes in climate,F 1           
observer engagement and agreement,F 1           
observers Co-Chair Runge-Metzger,F 1           
observers and delegates from AOSIS::SYN::observers and delegates from Alliance of Small Island States,F 1           
obtaining relevant insurance,F 1           
ocean fertilization and biochar,F 1           
official Protocol party,F 1           
official conference paper,F 1           
official funds like ODA::SYN::official funds like officials development assistance,F 1           
official negotiating text,F 1           
official session with interpretation,F 1           
official welcoming ceremony,F 1           
often bitter debate,F 1           
oil exporting countries,F 1           
onadverse effects and response,F 1           
once developed countries,F 1           
one agenda item and contact,F 1           
one aspect of gender equality,F 1           
one carbon market expert,F 1           
one civil society participant,F 1           
one contact group in Copenhagen,F 1           
one delegate expressing hope,F 1           
one developed country representative,F 1           
one developed country statement,F 1           
one group of developed countries,F 1           
one informal meeting on mitigation,F 1           
one irate NGO participant::SYN::one irate non-governmental organizations participant,F 1           
one issue on most minds,F 1           
one month s budget,F 1           
one other language before consideration,F 1           
one paragraph on fossil-fuel technologies,F 1           
one set of interpretation facilities,F 1           
one week of informal meetings,F 1           
one-off event on modeling,F 1           
ongoing AWG-KP discussions,F 1           
ongoing informal courtship,F 1           
ongoing negotiations on GEF::SYN::ongoing negotiations on Global Environment Facility,F 1           
ongoing series of meetings,F 1           
only economic adjustments,F 1           
only funding channel,F 1           
only game in town,F 1           
only generic issues,F 1           
only incremental costs,F 1           
only instrument in place,F 1           
only minor changes,F 1           
only new information,F 1           
only outstanding issue,F 1           
only political issues,F 1           
only quantitative commitment,F 1           
only reporting to SBSTA-23,F 1           
only suitable tool,F 1           
open Indaba on finance,F 1           
open and innovative dialogue,F 1           
open and transparent negotiations,F 1           
open-ended Ad Hoc,F 1           
open-ended consultations to observers,F 1           
open-ended joint working,F 1           
opening COP-6 Plenary,F 1           
opening plenaries of CMP,F 1           
opening previous decisions,F 1           
opening sessions of SBI,F 2           
opening sessions of SBI 29,F 1           
operation and status of JI::SYN::operation and status of joint implementation,F 1           
operational language with regard,F 1           
opportunity costs of inaction,F 1           
opportunity for continued deliberations,F 1           
opportunity for economies in transition,F 1           
opportunity for enlightened enterprise,F 1           
opportunity for fundamental reforms,F 1           
opportunity for government experts,F 1           
opportunity for technological growth,F 1           
opposition to references to inputs,F 1           
optimism regarding President,F 1           
option 1 of Principles,F 1           
option 2 on baselines,F 1           
option covering elements,F 1           
option encouraging parties,F 1           
option for combating climate,F 1           
option listing gases,F 1           
option of not taking,F 1           
option on land-based accounting,F 1           
option permitting postponement,F 1           
options clearly identified,F 1           
options for further action,F 1           
options for key issues,F 1           
options in greater depth,F 1           
options on Protocol Article,F 1           
options on coverage of gases,F 1           
options on forest management,F 1           
orally amended by AOSIS::SYN::orally amended by Alliance of Small Island States,F 1           
organization of regional workshops,F 1           
organization of work at INC-11,F 1           
organizational matters and matters,F 1           
organizational or housekeeping matters,F 1           
organizations and Convention Secretariats,F 1           
organizations and representatives from science,F 1           
organizations in providing resources,F 1           
organizations on capacity building,F 1           
others favoring placing,F 1           
others preferred targets,F 1           
out-going SBSTA Chair,F 1           
outcomes in relation to sub-paragraph,F 1           
outstanding LULUCF issues,F 1           
outstanding Review issues,F 1           
outstanding Rules of Procedure,F 1           
outstanding bracketed text,F 1           
outstanding contentious issues,F 1           
outstanding decisions on financing,F 1           
outstanding draft decisions,F 1           
outstanding draft text,F 1           
outstanding issues after Tuesday,F 1           
outstanding issues on item,F 1           
outstanding technical issues,F 1           
overarching GEF strategy::SYN::overarching Global Environment Facility strategy,F 1           
overarching operational strategy,F 1           
overburdening developing countries,F 1           
overestimating carbon credits,F 1           
overlapping or parallel processes,F 1           
overriding remaining concerns,F 1           
overview chart of options,F 1           
overview of procedural issues,F 1           
overwhelmingly popular topic,F 1           
pace of talks on Tuesday,F 1           
package deal if Parties,F 1           
package of CDM-strengthening measures,F 1           
package of decisions in Cancun,F 1           
packed day of meetings,F 1           
pages of AWG-LCA text,F 1           
